"Start";"Duration";"Pitch"
0.0;0.7479166666666667;85
0.75;0.24791666666666667;85
1.0;0.9979166666666666;76
2.0;0.9979166666666668;81
3.0;0.7479166666666668;85
3.75;0.24791666666666679;85
4.0;0.9979166666666668;76
5.0;0.9979166666666668;81
6.0;0.7479166666666668;88
6.75;0.24791666666666679;87
7.0;1.4979166666666668;90
8.5;0.4979166666666668;88
9.0;0.060416666666666785;87
9.0625;0.060416666666666785;90
9.125;0.6229166666666668;88
9.75;0.24791666666666679;87
10.0;1.4979166666666668;90
11.5;0.4979166666666668;88
