"Start";"Duration";"Pitch"
0.0;0.12291666666666666;71
0.125;0.12291666666666667;72
0.25;0.12291666666666667;71
0.375;0.12291666666666667;72
0.5;0.12291666666666667;71
0.625;0.12291666666666667;72
0.75;0.12291666666666667;71
0.875;0.12291666666666667;72
1.0;0.49791666666666656;76
1.5;0.49791666666666656;74
2.0;0.9979166666666668;66
3.0;0.4979166666666668;69
3.5;0.4979166666666668;67
4.0;1.9979166666666668;62
6.0;0.4979166666666668;67
6.5;0.4979166666666668;71
7.0;0.4979166666666668;74
7.5;0.4979166666666668;79
8.0;0.4979166666666668;83
8.5;0.4979166666666668;86
9.0;0.4979166666666668;83
9.5;0.4979166666666668;79
10.0;0.4979166666666668;78
10.5;0.4979166666666668;81
11.0;0.9979166666666668;79
