"Start";"Duration";"Pitch"
0.5;0.4989583333333333;79
1.0;0.4989583333333334;81
1.5;0.4989583333333334;83
2.0;0.9989583333333334;78
3.0;0.9989583333333334;76
4.5;0.4989583333333334;79
5.0;0.4989583333333334;81
5.5;0.4989583333333334;83
6.0;0.9989583333333334;78
7.0;0.9989583333333334;76
8.5;0.4989583333333325;78
9.0;0.4989583333333325;79
9.5;0.4989583333333325;81
10.0;0.4989583333333325;83
10.5;0.7489583333333325;84
11.25;0.2489583333333325;86
11.5;0.7489583333333325;88
12.25;0.2489583333333325;83
12.5;0.4989583333333325;86
