"Start";"Duration";"Pitch"
0.0;0.37395833333333334;87
0.375;0.12395833333333334;89
0.5;0.24895833333333328;87
0.75;0.24895833333333328;85
1.0;0.2489583333333334;84
1.25;0.2489583333333334;82
1.5;0.4989583333333334;80
2.0;0.2489583333333334;82
2.25;0.2489583333333334;80
2.5;0.4989583333333334;79
3.0;0.2489583333333334;80
3.25;0.2489583333333334;82
3.5;0.4989583333333334;84
4.0;0.3739583333333334;87
4.375;0.12395833333333339;89
4.5;0.2489583333333334;87
4.75;0.2489583333333334;85
5.0;0.2489583333333334;84
5.25;0.2489583333333334;82
5.5;0.4989583333333334;80
6.0;0.2489583333333334;82
6.25;0.2489583333333334;80
6.5;0.4989583333333334;79
7.0;0.7489583333333334;80
