"Start";"Duration";"Pitch"
0.25;0.24895833333333334;83
0.5;0.3739583333333333;83
0.875;0.12395833333333328;85
1.0;0.12395833333333339;83
1.125;0.6239583333333334;80
2.0;0.2489583333333334;83
2.25;0.2489583333333334;85
2.5;0.2489583333333334;83
2.75;0.2489583333333334;80
3.0;0.12395833333333339;79
3.125;0.12395833333333339;80
3.25;0.2489583333333334;77
3.5;0.2489583333333334;80
3.75;0.2489583333333334;82
4.0;0.2489583333333334;80
4.25;0.2489583333333334;77
4.5;0.12395833333333339;79
4.625;0.6239583333333334;80
5.25;0.4989583333333334;77
5.75;0.3739583333333334;75
6.125;0.12395833333333339;73
