Start;Duration;Pitch
0.03205;0.36855058333333335;69
0.40137;0.2036479166666667;78
0.60587;0.23638095833333328;74
0.84324;0.47068735416666674;73
1.31491;0.26401533333333327;71
1.5800299999999998;0.08485691666666684;79
1.6656;0.10764541666666672;76
1.77415;0.21795804166666688;74
1.99302;0.30111012500000056;73
2.2953900000000003;0.2090752083333336;83
2.5053400000000003;0.24319245833333314;81
2.74955;0.30976713888888874;81
3.06018;0.05943266666666691;83
3.12062;0.0860318333333332;79
3.20811;0.241888380663561;78
