Start;Duration;Pitch
0.52353;0.5325218749999998;74
1.0582799999999999;0.5436055;74
1.60416;0.4879184999999999;74
2.09412;0.5213386666666668;74
2.61764;0.4991216249999999;77
3.11885;0.554768791666667;76
3.67594;0.5882287916666669;74
4.26663;2.2551720714285715;74
6.52449;0.13351699999999944;76
6.66027;0.13214033333333397;74
6.79465;0.5129935833333334;73
7.30979;0.487898583333334;73
7.79973;0.25963816666666695;73
8.06155;0.3039458333333336;74
8.36805;0.25962825000000045;74
8.62986;0.2817027499999991;76
8.91393;0.4657313333333324;76
9.38161;0.4990319999999997;76
9.88273;0.48789858333333314;76
10.37267;0.5436055;76
10.91855;0.4990817916666668;76
11.41972;0.5213386666666668;79
11.94324;0.543645333333334;77
12.48916;0.5608362454477298;76
