"MID";"WAV"
0.00000;0.00000
1.00000;0.36880
1.50000;0.55319
2.00000;0.73760
2.50000;0.92199
3.00000;1.10640
3.50000;1.29079
4.00000;1.47519
4.50000;1.65958
5.00000;1.84399
5.50000;2.02838
6.00000;2.21279
6.50000;2.39718
7.00000;2.58159
7.50000;2.76598
8.00000;2.95038
8.50000;3.13478
9.00000;3.31918
9.50000;3.50358
10.00000;3.68798
10.50000;3.87238
11.00000;4.05678
11.50000;4.24117
12.00000;4.42557
13.00000;4.79437
13.50000;4.97877
14.00000;5.16317
14.50000;5.34757
15.00000;5.53197
15.99792;5.85000
