"MID";"WAV"
0.00000;0.10615
1.00000;0.81378
2.00000;1.46990
4.00000;2.74087
5.00000;3.41644
6.00000;4.00770
7.00000;4.64737
7.50000;4.97110
8.00000;5.30554
10.00000;6.61618
10.12500;6.68813
10.25000;6.77205
10.37500;6.85599
10.50000;6.93993
10.62500;7.01173
10.75000;7.07171
10.87500;7.15559
11.00000;7.23953
11.12500;7.33545
11.25000;7.40735
11.37500;7.46732
11.50000;7.55117
11.62500;7.63510
11.75000;7.73109
11.87500;7.81504
12.00000;7.91095
12.06250;7.95299
12.12500;7.98947
13.00000;8.64685
14.00000;9.27581
15.00000;9.92347
16.00000;10.55879
17.00000;11.23030
18.00000;11.91454
20.99792;13.65000
