"MID";"WAV"
0.00000;0.15897
0.25000;0.20843
0.50000;0.25691
1.00000;0.47378
1.50000;0.57067
2.00000;0.66003
2.50000;0.72441
3.00000;0.78133
3.50000;0.87822
4.00000;0.97504
4.50000;1.01199
5.00000;1.10888
5.50000;1.20576
6.00000;1.30262
6.50000;1.37960
7.00000;1.51643
7.06250;1.52854
7.50000;1.61323
8.00000;1.67024
8.50000;1.78704
9.00000;1.86398
9.50000;1.96077
10.00000;2.01775
10.50000;2.11463
11.00000;2.21153
11.50000;2.30842
12.00000;2.40518
12.50000;2.46219
13.00000;2.55901
13.50000;2.63597
14.00000;2.73285
14.50000;2.82974
15.00000;2.92654
15.50000;3.00020
15.99792;3.05000
