"MID";"WAV"
0.50000;0.01061
1.00000;0.33713
1.50000;0.66492
2.00000;0.99142
2.50000;1.30718
3.00000;1.63982
3.50000;1.97585
4.50000;2.71321
5.00000;3.03411
5.33333;3.25428
5.66667;3.45303
6.00000;3.68219
6.50000;3.98029
7.50000;4.60279
8.00000;4.93878
8.33333;5.15646
8.66667;5.37415
9.00000;5.60436
9.50000;5.91193
10.50000;6.58384
11.50000;7.15586
12.50000;7.74251
13.50000;8.41582
14.00000;8.80222
14.33333;9.01997
14.66667;9.23764
15.00000;9.49523
15.50000;9.84181
16.50000;10.41487
16.99792;10.65000
