"MID";"WAV"
0.00000;0.00000
0.25000;0.17744
0.50000;0.72352
0.75000;1.21975
0.79167;1.30466
0.83333;1.37604
0.87500;1.43026
1.12500;2.16764
1.25000;2.38597
1.62500;3.12203
1.75000;3.32045
2.12500;4.01613
2.25000;4.21011
2.62500;4.89060
2.75000;5.04940
3.25000;5.68793
3.75000;6.77574
4.75000;8.08718
4.79167;8.15994
4.83333;8.23272
4.87500;8.32587
5.00000;8.54420
5.25000;8.85442
5.50000;9.11887
5.75000;9.39599
6.00000;9.68889
6.25000;9.82695
6.50000;10.00779
6.75000;10.18475
7.25000;10.53917
7.75000;10.88673
8.74792;11.05000
