"MID";"WAV"
0.00000;0.00000
0.50000;0.13127
1.00000;0.26254
1.50000;0.39380
2.00000;0.52507
2.50000;0.65634
3.00000;0.78760
3.50000;0.91887
4.00000;1.05014
4.50000;1.18140
5.00000;1.31267
5.50000;1.44394
6.00000;1.57521
6.50000;1.70648
7.00000;1.83773
7.50000;1.96901
8.00000;2.10027
8.50000;2.23154
9.00000;2.36281
9.50000;2.49407
10.00000;2.62534
10.50000;2.75661
11.00000;2.88788
11.50000;3.01915
12.00000;3.15042
12.50000;3.28167
13.00000;3.41294
13.50000;3.54421
14.00000;3.67548
14.50000;3.80675
15.00000;3.93801
15.50000;4.06928
15.99792;4.15002
