"MID";"WAV"
0.00000;0.00000
0.50000;0.22815
1.00000;0.45631
2.00000;0.97498
2.06250;1.00353
2.50000;1.21562
3.00000;1.44380
4.00000;1.97491
4.06250;1.99746
4.50000;2.25290
5.00000;2.48743
5.50000;2.70316
6.00000;2.93750
6.50000;3.15945
6.75000;3.28584
7.00000;3.40626
8.00000;3.81903
8.06250;3.85341
8.50000;4.10299
9.00000;4.31276
10.00000;4.74416
10.06250;4.77255
10.50000;5.00303
11.00000;5.22536
11.50000;5.44111
12.00000;5.66913
12.25000;5.78320
12.50000;5.89729
12.75000;5.99299
13.00000;6.10672
13.50000;6.29171
14.00000;6.50087
15.00000;7.00035
15.99792;7.25000
