"MID";"WAV"
0.00000;0.00000
0.50000;0.15531
1.00000;0.29245
1.50000;0.44688
2.00000;0.59531
2.50000;0.74583
3.00000;0.88915
3.50000;1.03068
4.00000;1.17220
4.50000;1.31373
5.00000;1.45526
6.50000;1.91967
7.00000;2.06136
7.50000;2.20289
8.00000;2.34442
9.50000;2.84020
10.00000;2.99034
10.50000;3.13204
11.00000;3.27357
12.50000;3.61881
13.00000;3.75967
13.50000;3.90120
14.00000;4.04272
14.50000;4.18424
15.00000;4.31607
15.50000;4.44761
16.00000;4.58883
16.50000;4.73035
17.00000;4.87188
17.99792;5.35000
