"MID";"WAV"
0.00000;0.00000
3.00000;1.63573
3.06250;1.86095
3.12500;2.02540
3.18750;2.06895
3.31250;2.28968
3.43750;2.39743
3.56250;2.50168
3.68750;2.58603
3.81250;2.66412
3.93750;2.69815
4.06250;2.79812
4.18750;2.88312
4.31250;2.96737
4.43750;3.03167
4.56250;3.10394
4.68750;3.18024
4.81250;3.26448
4.93750;3.34875
5.06250;3.53305
5.18750;3.63729
5.31250;3.72157
5.43750;3.80624
5.56250;4.04517
5.68750;4.16160
5.81250;4.39497
6.00000;4.59494
7.50000;5.11632
9.00000;5.95206
10.50000;6.77893
12.00000;7.59468
13.49792;8.74998
