"MID";"WAV"
0.00000;0.00000
0.75000;0.20627
1.00000;0.30711
1.25000;0.41269
1.50000;0.51374
1.75000;0.60563
2.00000;0.69724
2.25000;0.80739
2.75000;1.00487
3.25000;1.20227
3.75000;1.41799
4.25000;1.60642
4.75000;1.80373
5.25000;2.00570
5.75000;2.22590
6.25000;2.44178
6.75000;2.65306
7.75000;3.08468
8.25000;3.30052
8.75000;3.50280
9.00000;3.60822
9.25000;3.71383
9.50000;3.81505
9.75000;3.91597
10.00000;4.02140
10.25000;4.13586
10.75000;4.36101
11.00000;4.47134
11.25000;4.58157
11.50000;4.69178
11.75000;4.80201
12.00000;4.90350
12.24792;5.34998
