"MID";"WAV"
0.00000;0.11504
0.50000;0.58376
1.00000;0.92344
1.50000;1.23538
2.00000;1.70716
2.50000;2.13897
3.00000;2.45067
3.50000;2.79501
4.00000;3.09440
4.50000;3.43313
5.00000;3.73788
5.50000;4.16969
6.00000;4.58152
6.50000;5.03316
7.00000;5.34504
7.50000;5.65122
8.00000;5.96850
8.50000;6.30039
9.00000;6.71221
9.50000;7.18398
10.00000;7.79586
10.50000;8.34755
11.00000;8.65943
11.50000;9.11115
12.00000;9.47195
12.50000;9.71475
13.00000;10.08657
13.50000;10.53825
14.00000;10.93035
14.49792;12.65000
