"MID";"WAV"
0.00000;0.00000
0.75000;0.07730
1.00000;0.15421
1.50000;0.23191
2.00000;0.40160
2.25000;0.48680
2.50000;0.61911
2.75000;0.71687
3.00000;0.84603
4.00000;1.20305
4.25000;1.34581
4.50000;1.43360
4.75000;1.53784
5.00000;1.62400
5.50000;1.87217
6.00000;2.04480
6.25000;2.16746
6.50000;2.25519
6.75000;2.34040
7.00000;2.42560
8.00000;2.89703
8.75000;3.23943
9.00000;3.32720
9.25000;3.41240
9.50000;3.51542
9.75000;3.62057
10.00000;3.70800
10.75000;3.98472
11.00000;4.07364
11.25000;4.16706
11.50000;4.25279
11.75000;4.34140
11.99792;4.55000
