"MID";"WAV"
0.50000;0.41588
1.00000;0.71178
1.50000;1.02769
2.00000;1.38353
2.25000;1.53151
3.00000;2.01533
3.25000;2.17475
4.00000;2.68738
4.09375;2.78230
4.18750;2.83803
4.28125;3.01351
4.37500;3.06899
4.75000;3.29091
5.00000;3.43884
6.50000;4.32650
7.00000;4.62239
7.50000;4.91827
8.00000;5.23413
8.25000;5.38210
9.00000;5.82592
9.25000;5.97387
10.00000;6.03752
10.12500;6.09774
10.25000;6.16564
10.37500;6.23960
10.50000;6.31357
10.62500;6.36754
10.75000;6.43398
10.87500;6.49469
11.00000;6.56655
11.06250;6.60176
11.12500;6.63359
11.99792;7.05000
