"MID";"WAV"
0.00000;0.00000
1.00000;0.74544
1.25000;0.97519
1.50000;1.21655
1.75000;1.44943
2.00000;1.70435
2.75000;2.50632
3.00000;2.75926
4.00000;3.72132
5.00000;4.72466
5.06250;4.79446
5.50000;5.23479
5.75000;5.47613
6.00000;5.70802
6.75000;6.58685
7.00000;6.83775
7.50000;7.31199
7.75000;7.58276
8.00000;7.82625
8.06250;7.90117
8.50000;8.33632
8.75000;8.57769
9.00000;8.81160
9.50000;9.29431
9.75000;9.54514
10.00000;9.80723
10.06250;9.87193
10.50000;10.29559
10.75000;10.54771
11.00000;10.79647
11.49792;11.05000
