"MID";"WAV"
0.00000;0.10940
0.50000;0.82273
1.00000;1.24554
1.50000;1.60847
2.00000;1.99137
2.50000;2.47419
3.00000;3.29553
3.75000;4.45549
4.00000;4.84258
6.00000;6.80123
6.50000;7.37144
7.00000;7.73966
7.50000;8.08260
8.00000;8.46548
8.50000;8.84834
9.00000;9.55312
9.75000;10.48530
10.00000;10.69862
12.00000;12.84808
12.50000;13.36630
13.00000;13.76447
13.50000;14.11673
14.00000;14.41933
14.50000;14.74226
15.00000;15.20511
15.75000;15.95934
16.00000;16.21074
17.00000;17.09649
17.99792;17.85000
