"MID";"WAV"
0.00000;0.00000
0.14375;0.06956
0.28750;0.13912
0.43125;0.20868
0.57500;0.27824
0.71875;0.34780
0.86250;0.41736
1.00000;0.48389
2.00000;1.08261
2.50000;1.31027
3.00000;1.45185
3.12292;1.51116
3.25000;1.57265
3.37292;1.63214
3.50000;1.69364
3.62292;1.75312
3.75000;1.81460
3.87292;1.87408
4.00000;1.93557
4.12292;1.99506
4.25000;2.05655
4.37292;2.11603
4.50000;2.17753
4.62292;2.23700
4.75000;2.29851
4.87292;2.35798
5.00000;2.41947
5.12500;2.47996
5.25000;2.54053
6.00000;2.99671
7.20000;3.60612
7.40000;3.71364
7.60000;3.81042
7.80000;3.90362
8.00000;3.99680
8.47292;4.15000
