MID;WAV
0.00000;0.20000
0.25000;0.32353
0.50000;0.57059
1.00000;0.81765
1.50000;1.06471
2.00000;1.31176
2.50000;1.55882
3.00000;1.80588
3.50000;2.05294
4.00000;2.30000
4.50000;2.50000
4.75000;2.62353
5.00000;2.87059
5.50000;3.11765
6.00000;3.36471
6.50000;3.61176
7.00000;3.85882
7.50000;4.10588
8.00000;4.35294
8.50000;4.60000
9.00000;4.90000
9.25000;5.01765
9.50000;5.25294
10.00000;5.48824
10.50000;5.72353
11.00000;5.95882
11.50000;6.19412
12.00000;6.42941
12.50000;6.66471
13.00000;6.90000
13.49792;7.15000
